model,k,stratum,value,decision_groups,configurations,hit,feasible,regret,brier
residual_29,4,length,19,6,6,1.0,1.0,0.0,0.03314660582691431
residual_29,4,length,22,2,2,1.0,1.0,0.0,0.09419528389116749
residual_29,4,length,58,2,2,1.0,1.0,0.0,0.18369324505329132
residual_29,4,length,76,6,6,1.0,1.0,0.0,0.06487081184362371
residual_29,4,pool_type,mixed,16,12,1.0,1.0,0.0,0.052164853624870174
residual_29,4,informative,True,16,12,1.0,1.0,0.0,0.052164853624870174
residual_29,8,all,all,16,12,1.0,1.0,0.0,0.052164853624870174
residual_29,8,family,rigid_connector_module,10,6,1.0,1.0,0.0,0.07118310142282604
residual_29,8,family,sliding_stage_pin,6,6,1.0,1.0,0.0,0.03314660582691431
residual_29,8,length,19,6,6,1.0,1.0,0.0,0.03314660582691431
residual_29,8,length,22,2,2,1.0,1.0,0.0,0.09419528389116749
residual_29,8,length,58,2,2,1.0,1.0,0.0,0.18369324505329132
residual_29,8,length,76,6,6,1.0,1.0,0.0,0.06487081184362371
residual_29,8,pool_type,mixed,16,12,1.0,1.0,0.0,0.052164853624870174
residual_29,8,informative,True,16,12,1.0,1.0,0.0,0.052164853624870174
prior_17,1,all,all,16,12,0.7777777777777777,0.7777777777777777,0.2222222222222222,0.20378291172285876
prior_17,1,family,rigid_connector_module,10,6,0.5555555555555555,0.5555555555555555,0.4444444444444444,0.23964452867706618
prior_17,1,family,sliding_stage_pin,6,6,1.0,1.0,0.0,0.16792129476865134
prior_17,1,length,19,6,6,1.0,1.0,0.0,0.16792129476865134
prior_17,1,length,22,2,2,0.5,0.5,0.5,0.090373694896698
prior_17,1,length,58,2,2,0.5,0.5,0.5,0.27459728717803955
prior_17,1,length,76,6,6,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.23417826369404793
prior_17,1,pool_type,mixed,16,12,0.7777777777777777,0.7777777777777777,0.2222222222222222,0.20378291172285876
prior_17,1,informative,True,16,12,0.7777777777777777,0.7777777777777777,0.2222222222222222,0.20378291172285876
prior_17,2,all,all,16,12,0.9722222222222222,0.9722222222222222,0.027777777777777776,0.20378291172285876
prior_17,2,family,rigid_connector_module,10,6,0.9444444444444443,0.9444444444444443,0.05555555555555555,0.23964452867706618
prior_17,2,family,sliding_stage_pin,6,6,1.0,1.0,0.0,0.16792129476865134
prior_17,2,length,19,6,6,1.0,1.0,0.0,0.16792129476865134
prior_17,2,length,22,2,2,0.5,0.5,0.5,0.090373694896698
prior_17,2,length,58,2,2,1.0,1.0,0.0,0.27459728717803955
prior_17,2,length,76,6,6,1.0,1.0,0.0,0.23417826369404793
prior_17,2,pool_type,mixed,16,12,0.9722222222222222,0.9722222222222222,0.027777777777777776,0.20378291172285876
prior_17,2,informative,True,16,12,0.9722222222222222,0.9722222222222222,0.027777777777777776,0.20378291172285876
prior_17,4,all,all,16,12,1.0,1.0,0.0,0.20378291172285876
prior_17,4,family,rigid_connector_module,10,6,1.0,1.0,0.0,0.23964452867706618
prior_17,4,family,sliding_stage_pin,6,6,1.0,1.0,0.0,0.16792129476865134
prior_17,4,length,19,6,6,1.0,1.0,0.0,0.16792129476865134
prior_17,4,length,22,2,2,1.0,1.0,0.0,0.090373694896698
prior_17,4,length,58,2,2,1.0,1.0,0.0,0.27459728717803955
prior_17,4,length,76,6,6,1.0,1.0,0.0,0.23417826369404793
prior_17,4,pool_type,mixed,16,12,1.0,1.0,0.0,0.20378291172285876
prior_17,4,informative,True,16,12,1.0,1.0,0.0,0.20378291172285876
prior_17,8,all,all,16,12,1.0,1.0,0.0,0.20378291172285876
prior_17,8,family,rigid_connector_module,10,6,1.0,1.0,0.0,0.23964452867706618
prior_17,8,family,sliding_stage_pin,6,6,1.0,1.0,0.0,0.16792129476865134
prior_17,8,length,19,6,6,1.0,1.0,0.0,0.16792129476865134
prior_17,8,length,22,2,2,1.0,1.0,0.0,0.090373694896698
prior_17,8,length,58,2,2,1.0,1.0,0.0,0.27459728717803955
prior_17,8,length,76,6,6,1.0,1.0,0.0,0.23417826369404793
prior_17,8,pool_type,mixed,16,12,1.0,1.0,0.0,0.20378291172285876
prior_17,8,informative,True,16,12,1.0,1.0,0.0,0.20378291172285876
mlp_29,1,all,all,16,12,1.0,1.0,0.0,0.04313294844824769
mlp_29,1,family,rigid_connector_module,10,6,1.0,1.0,0.0,0.06784336797944789
mlp_29,1,family,sliding_stage_pin,6,6,1.0,1.0,0.0,0.018422528917047504
mlp_29,1,length,19,6,6,1.0,1.0,0.0,0.018422528917047504
mlp_29,1,length,22,2,2,1.0,1.0,0.0,0.06503974890802056
mlp_29,1,length,58,2,2,1.0,1.0,0.0,0.1780899092555046
mlp_29,1,length,76,6,6,1.0,1.0,0.0,0.06861563073471189
mlp_29,1,pool_type,mixed,16,12,1.0,1.0,0.0,0.04313294844824769
mlp_29,1,informative,True,16,12,1.0,1.0,0.0,0.04313294844824769
mlp_29,2,all,all,16,12,1.0,1.0,0.0,0.04313294844824769
mlp_29,2,family,rigid_connector_module,10,6,1.0,1.0,0.0,0.06784336797944789
mlp_29,2,family,sliding_stage_pin,6,6,1.0,1.0,0.0,0.018422528917047504
mlp_29,2,length,19,6,6,1.0,1.0,0.0,0.018422528917047504
mlp_29,2,length,22,2,2,1.0,1.0,0.0,0.06503974890802056
mlp_29,2,length,58,2,2,1.0,1.0,0.0,0.1780899092555046
mlp_29,2,length,76,6,6,1.0,1.0,0.0,0.06861563073471189
mlp_29,2,pool_type,mixed,16,12,1.0,1.0,0.0,0.04313294844824769
mlp_29,2,informative,True,16,12,1.0,1.0,0.0,0.04313294844824769
mlp_29,4,all,all,16,12,1.0,1.0,0.0,0.04313294844824769
mlp_29,4,family,rigid_connector_module,10,6,1.0,1.0,0.0,0.06784336797944789
mlp_29,4,family,sliding_stage_pin,6,6,1.0,1.0,0.0,0.018422528917047504
mlp_29,4,length,19,6,6,1.0,1.0,0.0,0.018422528917047504
mlp_29,4,length,22,2,2,1.0,1.0,0.0,0.06503974890802056
mlp_29,4,length,58,2,2,1.0,1.0,0.0,0.1780899092555046
mlp_29,4,length,76,6,6,1.0,1.0,0.0,0.06861563073471189
mlp_29,4,pool_type,mixed,16,12,1.0,1.0,0.0,0.04313294844824769
mlp_29,4,informative,True,16,12,1.0,1.0,0.0,0.04313294844824769
mlp_29,8,all,all,16,12,1.0,1.0,0.0,0.04313294844824769
mlp_29,8,family,rigid_connector_module,10,6,1.0,1.0,0.0,0.06784336797944789
mlp_29,8,family,sliding_stage_pin,6,6,1.0,1.0,0.0,0.018422528917047504
mlp_29,8,length,19,6,6,1.0,1.0,0.0,0.018422528917047504
mlp_29,8,length,22,2,2,1.0,1.0,0.0,0.06503974890802056
mlp_29,8,length,58,2,2,1.0,1.0,0.0,0.1780899092555046
mlp_29,8,length,76,6,6,1.0,1.0,0.0,0.06861563073471189
mlp_29,8,pool_type,mixed,16,12,1.0,1.0,0.0,0.04313294844824769
mlp_29,8,informative,True,16,12,1.0,1.0,0.0,0.04313294844824769
residual_43,1,all,all,16,12,1.0,1.0,0.0,0.05367304177747833
residual_43,1,family,rigid_connector_module,10,6,1.0,1.0,0.0,0.07237294523252381
residual_43,1,family,sliding_stage_pin,6,6,1.0,1.0,0.0,0.03497313832243284
residual_43,1,length,19,6,6,1.0,1.0,0.0,0.03497313832243284
residual_43,1,length,22,2,2,1.0,1.0,0.0,0.08786316402256489
residual_43,1,length,58,2,2,1.0,1.0,0.0,0.2027641236782074
residual_43,1,length,76,6,6,1.0,1.0,0.0,0.06503185257315636
residual_43,1,pool_type,mixed,16,12,1.0,1.0,0.0,0.05367304177747833
residual_43,1,informative,True,16,12,1.0,1.0,0.0,0.05367304177747833
residual_43,2,all,all,16,12,1.0,1.0,0.0,0.05367304177747833
